index,cross_entropy,hyper_params
589,0.4403977681,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.054092194216355374, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 129, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5587755102040816, 'reg_lambda': 0.52, 'silent': 'warn', 'subsample': 0.8909090909090909, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': False}"
137,0.440791215,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.05960254406389767, 'max_depth': -1, 'min_child_samples': 105, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 126, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9616326530612245, 'reg_lambda': 0.36000000000000004, 'silent': 'warn', 'subsample': 0.9090909090909092, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': True}"
109,0.4408104566,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.06902401637080345, 'max_depth': -1, 'min_child_samples': 100, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 95, 'objective': None, 'random_state': 20231231, 'reg_alpha': 1.0, 'reg_lambda': 1.0, 'silent': 'warn', 'subsample': 0.8772727272727273, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
938,0.4408263801,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05395781281368038, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 75, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.21346938775510202, 'reg_lambda': 0.32, 'silent': 'warn', 'subsample': 0.7045454545454546, 'subsample_for_bin': 180000, 'subsample_freq': 0, 'is_unbalance': True}"
560,0.4409210662,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.2087933186904181, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 29, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6355102040816325, 'reg_lambda': 0.1, 'silent': 'warn', 'subsample': 0.8772727272727273, 'subsample_for_bin': 20000, 'subsample_freq': 0, 'is_unbalance': True}"
765,0.4409276687,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.05756269733420084, 'max_depth': -1, 'min_child_samples': 95, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 76, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.7889795918367346, 'reg_lambda': 0.5, 'silent': 'warn', 'subsample': 0.7681818181818182, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': True}"
182,0.4409559358,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.05045303269411597, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 107, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.36693877551020404, 'reg_lambda': 0.56, 'silent': 'warn', 'subsample': 0.9727272727272728, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': True}"
358,0.4409679288,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6222222222222222, 'importance_type': 'split', 'learning_rate': 0.06817088292913231, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 142, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.5587755102040816, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.6272727272727273, 'subsample_for_bin': 140000, 'subsample_freq': 0, 'is_unbalance': True}"
639,0.4413014442,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.055042281772791954, 'max_depth': -1, 'min_child_samples': 145, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 110, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.6355102040816325, 'reg_lambda': 0.16, 'silent': 'warn', 'subsample': 0.7090909090909091, 'subsample_for_bin': 240000, 'subsample_freq': 0, 'is_unbalance': True}"
893,0.4413260962,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7777777777777778, 'importance_type': 'split', 'learning_rate': 0.05237104009033834, 'max_depth': -1, 'min_child_samples': 60, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 36, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.21346938775510202, 'reg_lambda': 0.9, 'silent': 'warn', 'subsample': 0.7363636363636363, 'subsample_for_bin': 40000, 'subsample_freq': 0, 'is_unbalance': True}"
107,0.4413261192,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6444444444444445, 'importance_type': 'split', 'learning_rate': 0.05713475268896511, 'max_depth': -1, 'min_child_samples': 160, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 42, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.29020408163265304, 'reg_lambda': 0.24, 'silent': 'warn', 'subsample': 0.8, 'subsample_for_bin': 120000, 'subsample_freq': 0, 'is_unbalance': True}"
151,0.4416026151,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7111111111111111, 'importance_type': 'split', 'learning_rate': 0.07218466304766254, 'max_depth': -1, 'min_child_samples': 190, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 64, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.9424489795918367, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.5636363636363637, 'subsample_for_bin': 100000, 'subsample_freq': 0, 'is_unbalance': True}"
285,0.4416289418,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.05476913806446892, 'max_depth': -1, 'min_child_samples': 110, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 106, 'objective': None, 'random_state': 20231231, 'reg_alpha': 0.3285714285714285, 'reg_lambda': 0.76, 'silent': 'warn', 'subsample': 0.9181818181818182, 'subsample_for_bin': 80000, 'subsample_freq': 0, 'is_unbalance': True}"
43,0.4416747318,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6, 'importance_type': 'split', 'learning_rate': 0.1568507226425627, 'max_depth': -1, 'min_child_samples': 90, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 100, 'n_jobs': -1, 'num_leaves': 125, 'objective': None, 'random_state': 20231231, 'reg_alpha': 1.0, 'reg_lambda': 0.8, 'silent': 'warn', 'subsample': 0.5954545454545455, 'subsample_for_bin': 220000, 'subsample_freq': 0, 'is_unbalance': True}"
